Index,AvgBlockSize,BitcoinDaysDestroyed,BitcoinDaysDestroyedMinYear,CostPerTransactionPercent,CostPerTransaction,EstimatedTransactionVolumeUSD,EstimatedTransactionVolume,EuroPriceInUSD,MarketPrice,MedianConfirmationTime,OutputVolume,SP500.Close,SP500.Volume,TradeVolume,TransactionFeesUSD,TransactionFees,TxTradeRatio,WikipediaTrend,Y
0,1,-0.7868808144340341,-0.532673728074601,-0.276754326525458,-0.0291474560985132,-0.732719086878351,-0.610708093989111,-0.556213737241655,0.716418021752013,-0.711431369178173,-1.10654491164431,-0.48485291015716603,-1.4516236239723102,0.447530587231273,-0.47564227765726097,-0.580406611056386,-0.7790041386456491,-0.6428166483358551,-0.314394296364541,-0.711431369178173
1,2,-0.7882509501791979,-0.532673728074601,-0.276754326525458,-0.0291474560985132,-0.732719086878351,-0.610708093989111,-0.556213737241655,0.6282370840122211,-0.711431369178173,-1.10654491164431,-0.484874319511877,-1.45529296554708,0.8529139687648459,-0.47564227765726097,-0.580406611056386,-0.7790041386456491,-0.6428166483358551,-0.31443279063458396,-0.711431369178173
2,3,-0.7882509501791979,-0.532673728074601,-0.276754326525458,-0.0291474560985132,-0.732719086878351,-0.610708093989111,-0.556213737241655,0.540056146179283,-0.711431369178173,-1.10654491164431,-0.484874319511877,-1.45896230712184,1.25829735028951,-0.47564227765726097,-0.580406611056386,-0.7790041386456491,-0.6428166483358551,-0.314394296364541,-0.711431369178173
3,4,-0.7882509501791979,-0.532673728074601,-0.276754326525458,-0.0291474560985132,-0.732719086878351,-0.610708093989111,-0.556213737241655,0.30718395127992404,-0.711431369178173,-1.10654491164431,-0.484874319511877,-1.44061549802424,1.23933786127472,-0.47564227765726097,-0.580406611056386,-0.7790041386456491,-0.6428166483358551,-0.31443279063458396,-0.711431369178173
4,5,-0.7882509501791979,-0.532673728074601,-0.276754326525458,-0.0291474560985132,-0.732719086878351,-0.610708093989111,-0.556213737241655,0.552165500314048,-0.711431369178173,-1.10654491164431,-0.484874319511877,-1.5115986394071401,0.6269347891424,-0.47564227765726097,-0.580406611056386,-0.7790041386456491,-0.6428166483358551,-0.31443279063458396,-0.711431369178173
5,6,-0.7882509501791979,-0.532673728074601,-0.276754326525458,-0.0291474560985132,-0.732719086878351,-0.610708093989111,-0.556213737241655,0.5726582534651921,-0.711431369178173,-1.10654491164431,-0.484874319511877,-1.5038045201297598,0.8821710102101099,-0.47564227765726097,-0.580406611056386,-0.7790041386456491,-0.6428166483358551,-0.314394296364541,-0.711431369178173
6,7,-0.787217339003022,-0.532673728074601,-0.276754326525458,-0.0291474560985132,-0.732719086878351,-0.610708093989111,-0.556213737241655,0.6350680016982211,-0.711431369178173,-1.10654491164431,-0.484574588545925,-1.55284744891579,0.637229373126011,-0.47564227765726097,-0.580406611056386,-0.7790041386456491,-0.6428166483358551,-0.31443279063458396,-0.711431369178173
7,8,-0.787217339003022,-0.532673728074601,-0.276754326525458,-0.0291474560985132,-0.732719086878351,-0.610708093989111,-0.556213737241655,0.545024086306086,-0.711431369178173,-1.10654491164431,-0.484210629515841,-1.5697939671208998,0.639767397724047,-0.47564227765726097,-0.580406611056386,-0.7790041386456491,-0.6428166483358551,-0.314394296364541,-0.711431369178173
8,9,-0.7872154795006859,-0.532673728074601,-0.276754326525458,-0.0291474560985132,-0.732719086878351,-0.610708093989111,-0.556213737241655,0.454980171007099,-0.711431369178173,-1.10654491164431,-0.48260492791253,-1.58674048532853,0.642305422322082,-0.47564227765726097,-0.580406611056386,-0.7790041386456491,-0.6428166483358551,-0.31443279063458396,-0.711431369178173
9,10,-0.787134477255218,-0.5326540786164,-0.276754326525458,-0.00629353608557577,-0.732719086878351,-0.610708093989111,-0.556128803445585,0.364936255614964,-0.711431369178173,-1.10654491164431,-0.48290423069138705,-1.6036870035336297,0.6448434469201179,-0.47564227765726097,-0.580406611056386,-0.7790041386456491,-0.6428166483358551,-0.31443279063458396,-0.711431369178173
10,11,-0.787202540282843,-0.53267180165713,-0.276754326525458,0.0417253745032776,-0.732719086878351,-0.610708093989111,-0.556178348159959,0.24197973670810397,-0.711431369178173,-1.10654491164431,-0.482400254481494,-1.59981527514447,1.3950389913521,-0.47564227765726097,-0.580406611056386,-0.7790041386456491,-0.6428166483358551,-0.31443279063458396,-0.711431369178173
11,12,-0.7872130656751609,-0.532673728074601,-0.276754326525458,-0.0291474560985132,-0.732719086878351,-0.610708093989111,-0.556213737241655,0.159077235323932,-0.711431369178173,-1.10654491164431,-0.48217674081831297,-1.6736326695556798,1.25292742456104,-0.47564227765726097,-0.580406611056386,-0.7790041386456491,-0.6428166483358551,-0.31443279063458396,-0.711431369178173
12,13,-0.7870887480063009,-0.532577407201066,-0.276754326525458,-0.0272569185042214,-0.732719086878351,-0.610708093989111,-0.5547486292594571,0.0771062227193584,-0.711431369178173,-1.10654491164431,-0.48191511850374696,-1.6707984165273602,3.38973966928323,-0.47564227765726097,-0.580406611056386,-0.7790041386456491,-0.6428166483358551,-0.31443279063458396,-0.711431369178173
13,14,-0.787201465984558,-0.5326526659102551,-0.276754326525458,-0.0219985444899847,-0.732719086878351,-0.610708093989111,-0.555859846424699,0.24943164694488298,-0.711431369178173,-1.10654491164431,-0.482348015656,-1.6546532118685,2.4802270666763704,-0.47564227765726097,-0.580406611056386,-0.7790041386456491,-0.6428166483358551,-0.314394296364541,-0.711431369178173
14,15,-0.787201803675699,-0.532642520111576,-0.276754326525458,-0.0224915728767798,-0.732719086878351,-0.610708093989111,-0.555859846424699,0.222107976107742,-0.711431369178173,-1.10654491164431,-0.482519290493686,-1.6830591487238702,2.3887669013150497,-0.47564227765726097,-0.580406611056386,-0.7790041386456491,-0.6428166483358551,-0.31443279063458396,-0.711431369178173
15,16,-0.787212769503922,-0.532673728074601,-0.276754326525458,-0.0291474560985132,-0.732719086878351,-0.610708093989111,-0.556213737241655,0.19478430517745,-0.711431369178173,-1.10654491164431,-0.482711974686084,-1.71146508557924,2.29730673595374,-0.47564227765726097,-0.580406611056386,-0.7790041386456491,-0.6428166483358551,-0.31443279063458396,-0.711431369178173
16,17,-0.787195442686527,-0.532630704751089,-0.276754326525458,-0.024258257929457995,-0.732719086878351,-0.610708093989111,-0.5556829010162211,0.16746063434031,-0.711431369178173,-1.10654491164431,-0.482262378237157,-1.7398710224346101,2.2058465705924304,-0.47564227765726097,-0.580406611056386,-0.7790041386456491,-0.6428166483358551,-0.31443279063458396,-0.711431369178173
17,18,-0.787131923099491,-0.5322793262044311,-0.276754326525458,-0.0282250158909613,-0.732719086878351,-0.610708093989111,-0.5534710834102471,-0.0672745381182442,-0.711431369178173,-1.10654491164431,-0.482058989367404,-1.7682769592899799,2.11438640523111,-0.47564227765726097,-0.580406611056386,-0.7790041386456491,-0.6428166483358551,-0.31443279063458396,-0.711431369178173
18,19,-0.7871570538811179,-0.532435622875221,-0.276754326525458,-0.0277546509058171,-0.732719086878351,-0.610708093989111,-0.554444283156875,-0.0859043137101929,-0.711431369178173,-1.10654491164431,-0.48224096888244605,-1.67965549678138,2.1968499412936002,-0.47564227765726097,-0.580406611056386,-0.7790041386456491,-0.6428166483358551,-0.314394296364541,-0.711431369178173
19,20,-0.7871381756044109,-0.532421624241601,-0.276754326525458,-0.0282230278732724,-0.732719086878351,-0.610708093989111,-0.554444283156875,-0.0169741440199822,-0.711431369178173,-1.10654491164431,-0.483054524361457,-1.7118952436000499,1.6411561345658099,-0.47564227765726097,-0.580406611056386,-0.7790041386456491,-0.6428166483358551,-0.314394296364541,-0.711431369178173
20,21,-0.787183973560683,-0.532584470731791,-0.276754326525458,-0.0263947142722448,-0.732719086878351,-0.610708093989111,-0.5556829010162211,-0.193025523363896,-0.711431369178173,-1.10654491164431,-0.48337566468211896,-1.7006340683385301,1.63076359173807,-0.47564227765726097,-0.580406611056386,-0.7790041386456491,-0.6428166483358551,-0.31443279063458396,-0.711431369178173
21,22,-0.7871658094333409,-0.532250686798033,-0.276754326525458,-0.0276144459583222,-0.732719086878351,-0.610708093989111,-0.5533826107060079,-0.132478752690064,-0.711431369178173,-1.10654491164431,-0.48027130824905,-1.69673695724526,1.69244204214506,-0.47564227765726097,-0.580406611056386,-0.7790041386456491,-0.6428166483358551,-0.31443279063458396,-0.711431369178173
22,23,-0.787207872700713,-0.53266242642544,-0.276754326525458,-0.00523557933895244,-0.732719086878351,-0.610708093989111,-0.556036791833177,-0.0719319820162309,-0.711431369178173,-1.10654491164431,-0.480699495343267,-1.69283984614946,1.7541204925520602,-0.47564227765726097,-0.580406611056386,-0.7790041386456491,-0.6428166483358551,-0.31443279063458396,-0.711431369178173
23,24,-0.7872132360556899,-0.532673728074601,-0.276754326525458,-0.0291474560985132,-0.732719086878351,-0.610708093989111,-0.556213737241655,-0.0113852113423983,-0.711431369178173,-1.10654491164431,-0.482390834365421,-1.6889427350562,1.81579894295906,-0.47564227765726097,-0.580406611056386,-0.7790041386456491,-0.6428166483358551,-0.314394296364541,-0.711431369178173
24,25,-0.7870850162356031,-0.532246320251766,-0.276754326525458,-0.0285954786654703,-0.732719086878351,-0.610708093989111,-0.5521439928466619,0.16000872410352898,-0.711431369178173,-1.10654491164431,-0.48217674081831297,-1.6658130646625102,1.20428640577342,-0.47564227765726097,-0.580406611056386,-0.7790041386456491,-0.6428166483358551,-0.31443279063458396,-0.711431369178173
25,26,-0.787213605027222,-0.532673728074601,-0.276754326525458,-0.0291474560985132,-0.732719086878351,-0.610708093989111,-0.556213737241655,0.24011675914891,-0.711431369178173,-1.10654491164431,-0.48266915597666205,-1.59399478412128,1.95760772786825,-0.47564227765726097,-0.580406611056386,-0.7790041386456491,-0.6428166483358551,-0.31443279063458396,-0.711431369178173
26,27,-0.787215092878848,-0.532673728074601,-0.276754326525458,-0.0291474560985132,-0.732719086878351,-0.610708093989111,-0.556213737241655,0.10132493098889099,-0.711431369178173,-1.10654491164431,-0.482262378237157,-1.6672555211609,0.9494153040338521,-0.47564227765726097,-0.580406611056386,-0.7790041386456491,-0.6428166483358551,-0.31427881355441195,-0.711431369178173
27,28,-0.7871568281507679,-0.5324821137501811,-0.276754326525458,-0.0279046137068047,-0.732719086878351,-0.610708093989111,-0.5540903923399189,-0.17346425899235,-0.711431369178173,-1.10654491164431,-0.48202687533533706,-1.7159947938075102,1.20189977211632,-0.47564227765726097,-0.580406611056386,-0.7790041386456491,-0.6428166483358551,-0.31443279063458396,-0.711431369178173
28,29,-0.7872146557506441,-0.532673728074601,-0.276754326525458,-0.0291474560985132,-0.732719086878351,-0.610708093989111,-0.556213737241655,-0.190852049575885,-0.711431369178173,-1.10654491164431,-0.48211251275418104,-1.7163659501781598,1.29768867942799,-0.47564227765726097,-0.580406611056386,-0.7790041386456491,-0.6428166483358551,-0.314394296364541,-0.711431369178173
29,30,-0.787105647659003,-0.531079168120177,-0.276754326525458,-0.0284975550431921,-0.732719086878351,-0.610708093989111,-0.5523209382551401,-0.20823984006627203,-0.711431369178173,-1.10654491164431,-0.481919828561783,-1.71673710654628,1.39347758674855,-0.47564227765726097,-0.580406611056386,-0.7790041386456491,-0.6428166483358551,-0.31443279063458396,-0.711431369178173
30,31,-0.787213326449108,-0.532673728074601,-0.276754326525458,-0.0291474560985132,-0.732719086878351,-0.610708093989111,-0.556213737241655,-0.225627630649807,-0.711431369178173,-1.10654491164431,-0.482155331463602,-1.7171082629169399,1.4892664940602198,-0.47564227765726097,-0.580406611056386,-0.7790041386456491,-0.6428166483358551,-0.31443279063458396,-0.711431369178173
31,32,-0.787076012823733,-0.532555574469731,-0.276754326525458,-0.0218615017077552,-0.732719086878351,-0.610708093989111,-0.555806762802155,-0.142725129265636,-0.711431369178173,-1.10654491164431,-0.48169009762199394,-1.68403337440933,1.67898605910074,-0.47564227765726097,-0.580406611056386,-0.682481207551846,-0.6428166483358551,-0.31443279063458396,-0.711431369178173
32,33,-0.7871818104509671,-0.532567646685881,-0.276754326525458,-0.00921500422632586,-0.732719086878351,-0.610708093989111,-0.556079258731211,-0.17160128143315603,-0.711431369178173,-1.10654491164431,-0.48217674081831297,-1.69992558289722,2.15465639551994,-0.47564227765726097,-0.580406611056386,-0.7790041386456491,-0.6428166483358551,-0.314394296364541,-0.711431369178173
33,34,-0.7872138823752199,-0.532673728074601,-0.276754326525458,-0.0291474560985132,-0.732719086878351,-0.610708093989111,-0.556213737241655,-0.161354904857585,-0.711431369178173,-1.10654491164431,-0.482283787591867,-1.6654588978596898,2.33595149996488,-0.47564227765726097,-0.580406611056386,-0.7790041386456491,-0.6428166483358551,-0.314355802094498,-0.711431369178173
34,35,-0.78721342592664,-0.532673728074601,-0.276754326525458,-0.0291474560985132,-0.732719086878351,-0.610708093989111,-0.556213737241655,-0.192094034584299,-0.711431369178173,-1.10654491164431,-0.48211251275418104,-1.6078878762086002,2.21133894487607,-0.47564227765726097,-0.580406611056386,-0.7790041386456491,-0.6428166483358551,-0.31443279063458396,-0.711431369178173
35,36,-0.7870927638649541,-0.531263975769534,-0.276754326525458,-0.0284722215687715,-0.732719086878351,-0.610708093989111,-0.5521439928466619,-0.126268827461698,-0.711431369178173,-1.10654491164431,-0.481663772679442,-1.6067996877368103,1.94129015919823,-0.47564227765726097,-0.580406611056386,-0.7790041386456491,-0.6428166483358551,-0.31443279063458396,-0.711431369178173
36,37,-0.787205176761138,-0.531663900036454,-0.276754326525458,-0.0283216335506314,-0.732719086878351,-0.610708093989111,-0.5526748290720961,-0.0604436204322447,-0.711431369178173,-1.10654491164431,-0.48157727888641,-1.6057114992650199,1.67124137351149,-0.47564227765726097,-0.580406611056386,-0.7790041386456491,-0.6428166483358551,-0.31443279063458396,-0.711431369178173
